Frame,Saliency_xcoord,Saliency_ycoord
0,,
1,,
2,,
3,,
4,759,423
5,759,423
6,759,423
7,759,423
8,759,423
9,759,423
10,759,423
11,759,423
12,759,423
13,759,423
14,759,423
15,759,423
16,759,423
17,759,423
18,759,423
19,759,423
20,759,423
21,759,423
22,759,423
23,759,423
24,759,423
25,759,423
26,759,423
27,759,423
28,759,423
29,759,423
30,759,423
31,759,423
32,759,423
33,759,423
34,759,423
35,759,423
36,759,423
37,759,423
38,759,423
39,759,423
40,759,423
41,759,423
42,759,423
43,759,423
44,759,423
45,759,423
46,759,423
47,759,423
48,759,423
49,759,423
50,759,423
51,759,423
52,759,423
53,759,423
54,759,423
55,759,423
56,759,423
57,759,423
58,759,423
59,759,423
60,759,423
61,759,423
62,759,423
63,759,423
64,759,423
65,759,423
66,759,423
67,759,423
68,759,423
69,759,423
70,759,423
71,759,423
72,759,423
73,759,423
74,759,423
75,759,423
76,759,423
77,759,423
78,759,423
79,759,423
80,759,423
81,759,423
82,759,423
83,759,423
84,759,423
85,759,423
86,759,423
87,759,423
88,759,423
89,759,423
90,759,423
91,759,423
92,757,110
93,757,110
94,757,110
95,757,110
96,760,76
97,760,76
98,515,37
99,515,37
100,512,41
101,385,67
102,385,67
103,268,15
104,269,33
105,269,33
106,202,37
107,202,37
108,21,131
109,21,131
110,21,131
111,31,2
112,31,2
113,31,2
114,17,183
115,115,18
116,115,18
117,269,41
118,269,41
119,254,217
120,254,217
121,254,217
122,744,29
123,640,183
124,640,183
125,640,183
126,640,183
127,640,183
128,640,183
129,640,183
130,640,183
131,640,183
132,640,183
133,640,183
134,640,183
135,640,183
136,640,183
137,368,43
138,368,43
139,368,43
140,368,43
141,219,7
142,192,127
143,192,127
144,192,127
145,192,127
146,192,127
147,192,127
148,5,42
149,7,44
150,132,41
151,141,47
152,141,47
153,141,47
154,372,278
155,372,278
156,372,278
157,664,279
158,664,279
159,607,216
160,607,216
161,713,143
162,762,18
163,762,18
164,762,18
165,762,18
166,762,18
167,753,15
168,679,23
169,679,23
170,679,23
171,679,23
172,679,23
173,679,23
174,369,96
175,369,96
176,369,96
177,369,96
178,8,169
179,212,38
180,212,38
181,338,421
182,339,423
183,339,423
184,339,423
185,136,273
186,136,273
187,136,273
188,136,273
189,136,273
190,136,273
191,621,97
192,621,97
193,621,97
194,621,97
195,634,235
196,634,235
197,599,205
198,599,205
199,599,205
200,713,2
201,713,2
202,713,2
203,678,11
204,590,15
205,515,5
206,515,5
207,515,5
208,515,5
209,347,32
210,208,26
211,208,26
212,208,26
213,208,26
214,208,26
215,102,57
216,102,57
217,102,57
218,4,77
219,4,77
220,4,77
221,21,394
222,21,394
223,21,394
224,21,394
225,21,394
226,21,394
227,749,367
228,749,367
229,749,367
230,757,273
231,757,273
232,757,273
233,757,273
234,601,51
235,601,51
236,373,179
