Label,Time,Original
Animals,0,5900
Attention getter,9600,15500
First speech trial,12100,18000
Attention getter,22100,28000
Second speech,24600,30500
Attention getter,34600,40500
Third speech,37100,43000
Attention getter,47100,53000
First buttons,49600,55500
Attention getter,59600,65500
Second buttons,62100,68000
Attention getter,72100,78000
Third buttons,74600,80500
Sesame_Street,84600,90500
Attention getter,92100,98000
Fourth speech,94600,100500
Attention getter,104600,110500
Fifth speech,107100,113000
Attention getter,117100,123000
Sixth speech,119600,125500
Attention getter,129600,135500
Fourth buttons,132100,138000
Attention getter,142100,148000
Fifth buttons,144600,150500
Attention getter,154600,160500
Sixth buttons,157100,163000
End,167100,173000
